"dataset","role","path","exists","size_bytes","compression","integrity_ok","integrity_detail","load_ok","load_detail","status"
"T_HT","isa_path","/Volumes/Expansion/IsoformSwitchAnalyzer/H-T_Comparisons/T_minus-T_plus_2024-Dec-18/T_minus-T_plus_IsoformSwitchAnalyzeR.Rdata",TRUE,584409242,"gzip",TRUE,"integrity OK",,"","OK"
"T_HT","isa_unfiltered_path","/private/tmp/claude-502/-Users-samkatz-projects-isoform-switch-pipeline/939fb1e1-05a9-4615-9451-5704f53d2fe6/scratchpad/truncated.Rdata",TRUE,2e+07,"gzip",FALSE,"gzip: /private/tmp/claude-502/-Users-samkatz-projects-isoform-switch-pipeline/939fb1e1-05a9-4615-9451-5704f53d2fe6/scratchpad/truncated.Rdata: unexpected end of file; gzip: /private/tmp/claude-502/-Users-samkatz-projects-isoform-switch-pipeline/939fb1e1-05a9-4615-9451-5704f53d2fe6/scratchpad/truncated.Rdata: uncompress failed",,"","CORRUPT"
"T_HT","annotation_path","/Volumes/Expansion/gtf_files/GTF_to_GFF311_3_2022/H_T/H_T.gff3",TRUE,603034393,"unknown",,"no compression test applicable",,"","OK"
"H_HT","isa_path","/Volumes/Expansion/IsoformSwitchAnalyzer/H-T_Comparisons/H_minus-H_plus_2024-Dec-18/H_minus-H_plus_IsoformSwitchAnalyzeR.Rdata",TRUE,584930367,"gzip",TRUE,"integrity OK",,"","OK"
"H_HT","isa_unfiltered_path","/Volumes/Expansion/IsoformSwitchAnalyzer/H-T_Comparisons/H_minus-H_plus_Unfiltered_2025-Oct-12/H_minus-H_plus_IsoformSwitchAnalyzeR.Rdata",TRUE,615000744,"gzip",TRUE,"integrity OK",,"","OK"
"H_HT","annotation_path","/Volumes/Expansion/gtf_files/GTF_to_GFF311_3_2022/H_T/H_T.gff3",TRUE,603034393,"unknown",,"no compression test applicable",,"","OK"
"U_UT","isa_path","/Volumes/Expansion/IsoformSwitchAnalyzer/U-T_Comparisons/U_minus-U_plus_2025-Feb-11/U_minus-U_plus_IsoformSwitchAnalyzeR.Rdata",TRUE,58174387,"gzip",TRUE,"integrity OK",,"","OK"
"U_UT","isa_unfiltered_path","/Volumes/Expansion/IsoformSwitchAnalyzer/U-T_Comparisons/U_minus-U_plus_2025-Feb-11/U_minus-U_plus_unfilteredR.Rdata",TRUE,94838344,"gzip",TRUE,"integrity OK",,"","OK"
"U_UT","annotation_path","/Volumes/Expansion/gtf_files/GTF_to_GFF311_3_2022/U_T/U_T.gff3",TRUE,627785928,"unknown",,"no compression test applicable",,"","OK"
"T_UT","isa_path","/Volumes/Expansion/IsoformSwitchAnalyzer/U-T_Comparisons/T_minus-T_plus_2025-Feb-11/T_minus-T_plus_IsoformSwitchAnalyzeR.Rdata",TRUE,58436411,"gzip",TRUE,"integrity OK",,"","OK"
"T_UT","isa_unfiltered_path","/Volumes/Expansion/IsoformSwitchAnalyzer/U-T_Comparisons/T_minus-T_plus_2025-Feb-11/T_minus-T_plus_unfilteredR.Rdata",TRUE,94599035,"gzip",TRUE,"integrity OK",,"","OK"
"T_UT","annotation_path","/Volumes/Expansion/gtf_files/GTF_to_GFF311_3_2022/U_T/U_T.gff3",TRUE,627785928,"unknown",,"no compression test applicable",,"","OK"
