"gene_id","gene_name","n_isoforms","n_novel_isoforms","n_switching_isoforms","n_novel_switching_isoforms","n_known_switching_isoforms","novel_involved","has_novel_isoform","max_abs_dif_switching","max_abs_dif_novel_switching","min_isoform_switch_q","min_novel_switch_q","dataset_label"
"XLOC_000108","DFFB",8,0,1,0,1,FALSE,FALSE,0.3231,,0.00253052369906565,,"H_HT_supplementary"
"XLOC_000180","CENPS-CORT",6,1,0,0,0,FALSE,TRUE,,,,,"H_HT_supplementary"
"XLOC_000377","PNRC2",4,3,1,1,0,TRUE,TRUE,0.193933333333333,0.193933333333333,4.47707856888866e-16,4.47707856888866e-16,"H_HT_supplementary"
"XLOC_000426","DHDDS",11,5,1,0,1,FALSE,TRUE,0.2991,,0.01161825730616,,"H_HT_supplementary"
"XLOC_000432","PIGV",11,5,1,0,1,FALSE,TRUE,0.1732,,0.0371959141217356,,"H_HT_supplementary"
"XLOC_000480","TRNAU1AP",6,2,0,0,0,FALSE,TRUE,,,,,"H_HT_supplementary"
"XLOC_000801","PRPF38A",9,8,1,1,0,TRUE,TRUE,0.2532,0.2532,4.60641461217979e-07,4.60641461217979e-07,"H_HT_supplementary"
"XLOC_001009","IFI44",15,12,1,1,0,TRUE,TRUE,0.2181,0.2181,3.20761869527101e-13,3.20761869527101e-13,"H_HT_supplementary"
"XLOC_001167","TRMT13",12,7,1,1,0,TRUE,TRUE,0.216133333333333,0.216133333333333,0.0130539310599628,0.0130539310599628,"H_HT_supplementary"
"XLOC_001235","ATXN7L2",6,0,1,0,1,FALSE,FALSE,0.320733333333333,,0.0264997540650448,,"H_HT_supplementary"
"XLOC_001295","LRIG2",8,4,1,1,0,TRUE,TRUE,0.2593,0.2593,0.01012651293042,0.01012651293042,"H_HT_supplementary"
"XLOC_001487","H4C14",5,3,1,0,1,FALSE,TRUE,0.257933333333333,,0.00491897745498289,,"H_HT_supplementary"
"XLOC_001493","BOLA1",4,0,1,0,1,FALSE,FALSE,0.507633333333333,,0.000535145708221473,,"H_HT_supplementary"
"XLOC_001633","CKS1B",4,2,1,1,0,TRUE,TRUE,0.2821,0.2821,2.2884211833785e-13,2.2884211833785e-13,"H_HT_supplementary"
"XLOC_001925","RABGAP1L",12,7,3,2,1,TRUE,TRUE,0.4648,0.4648,2.08977970355274e-17,2.08977970355274e-17,"H_HT_supplementary"
"XLOC_002146","RNPEP",7,6,0,0,0,FALSE,TRUE,,,,,"H_HT_supplementary"
"XLOC_002300","FLVCR1",5,1,1,0,1,FALSE,TRUE,0.336666666666667,,6.16296077114934e-11,,"H_HT_supplementary"
"XLOC_002501","GGPS1",13,7,0,0,0,FALSE,TRUE,,,,,"H_HT_supplementary"
"XLOC_002575","ZBTB18",5,0,2,0,2,FALSE,FALSE,0.771666666666667,,2.30444079413924e-07,,"H_HT_supplementary"
"XLOC_002701","HES4",4,0,1,0,1,FALSE,FALSE,0.176733333333333,,0.00110031962547503,,"H_HT_supplementary"
"XLOC_002709","TNFRSF4",3,1,2,1,1,TRUE,TRUE,0.157533333333333,0.155966666666667,0.00886286518017203,0.0219220110195553,"H_HT_supplementary"
